"ID-recorrido","id-linea","nombre-linea","ida-vuelta","activo","route-trip","codigo-de-sub-ramal","descripcion","destino"
2416,3569,"G-05-053C",0,1,53131,53131,"053C BELGNO-H.L-UNC","NULL"
2608,3569,"G-05-053C",1,1,53131,53131,"053C BELGNO-H.L-UNC","NULL"
2612,3569,"G-05-053C",1,1,53132,53132,"053C BELGNO-H.L-UNC","NULL"
2613,3569,"G-05-053C",0,1,53132,53132,"053C BELGNO-H.L-UNC","NULL"
2642,3570,"G-05-053D",1,1,53133,53133,"053D BEL-H.L-UNC-LIC","NULL"
2646,3570,"G-05-053D",0,1,53133,53133,"053D BEL-H.L-UNC-LIC","NULL"
2655,3571,"G-05-054A",1,1,54149,54149,"054A MUN-BERM.CTRO","NULL"
2660,3571,"G-05-054A",0,1,54149,54149,"054A MUN-BERM.CTRO","NULL"
2453,3571,"G-05-054A",1,1,54150,54150,"054A MUN-BERM.CTRO","NULL"
2454,3571,"G-05-054A",0,1,54150,54150,"054A MUN-BERM.CTRO","NULL"
2669,3571,"G-05-054A",1,1,54151,54151,"054A MUN-BERM.CTRO","NULL"
