"stop_lat","stop_entre","stop_lon","stop_numero","stop_calle","stop_id","stop_name"
-32.9835551495,"PERON",-68.7842546439,"201","Godoy Cruz T.","M2814","29610"
-32.9829351506,"PERON",-68.7871938996,"251","Pescara","M2815","29611"
-32.9842198483,"SAN MARTIN",-68.7875700794,"101","Pescara","M2816","29612"
-32.9843310463,"P. ARGENTINAS",-68.7867400445,"201","San Martín","M2817","29613"
-32.9846516549,"Godoy Cruz T.",-68.7851213314,"301","San Martín","M2818","29614"
-32.9848915853,"SAN MARTIN",-68.7846060133,"101","Godoy Cruz T.","M2819","29615"
-32.9909281674,"Ruta 50",-68.6880355546,"101","Ruta Provincial 50","M2820","30451"
-32.9852431671,"5 DE ABRIL",-68.7817393706,"502","San Martín","M2821","29617"
-32.9862473683,"EJ. LIBERTADOR",-68.783402368,"502","Domingo Faustino Sarmiento","M2822","29618"
-32.987817288,"5 DE ABRIL",-68.7822181105,"602","Sosa T.","M2823","29619"
-32.9875521139,"T. SOSA",-68.7820972647,"1","5 de Abril","M2824","29620"
-32.9872594466,"Godoy Cruz T.",-68.7853525533,"341","Sosa T.","M2825","29621"
-32.973444291,"CALLE 11",-68.8124039885,"","Emilio Civit","M2826","29501"
-32.974704702,"GARGANTINI",-68.8055372389,"","Acceso A Colectora","M2827","29502"
-32.9795296916,"RIVADAVIA",-68.7966824925,"401","Maza JA","M2828","29503"
-32.981494272,"Belgrano",-68.7975279712,"","Maza JA","M2829","29504"
-32.9823661406,"SALMON",-68.7966127996,"502","Gral. Belgrano Manuel","M2830","29505"
-32.9827122579,"PADRE VERA",-68.7949430861,"302","Gral. Belgrano Manuel","M2831","29506"
-32.9832601143,"20 DE JUNIO",-68.792138166,"102","Gral. Belgrano Manuel","M2832","29507"
-32.9846789434,"VERGARA",-68.7908724523,"102","Ozamis JA","M2833","29508"
-32.9863510793,"CORRIENTES",-68.7897929503,"1","Sosa T.","M2834","29509"
-32.986373678,"T. SOSA",-68.7897685951,"2","Corrientes","M2835","29510"
-32.9870378396,"V DE LA CANDELARIA",-68.7865347369,"301","Sosa T.","M2836","29511"
