"route_id","route_short_name","route_type","route_desc"
"182","182","Bus","182 MZA MPU 3ESQ."
"182","182","Bus","182 3ESQUINAS MAIPU"
"182","182","Bus","182MZA MPU SUP.3ESQ"
"182","182","Bus","182MAIPU 3 ESQUINAS"
"182","182","Bus","182 3ESQ.SUP.MPU.MZA"
"182","182","Bus","182 3ESQ.X P.MOL.MPU"
"182","182","Bus","182MZA MPU SUP 3ESQ."
"182","182","Bus","182 3ESQPM.SUPMPUMZA"
"182","182","Bus","182 MZA 3ESQ.xP.MOL."
"182","182","Bus","182 MZA MPU 3ESQ."
"182","182","Bus","182 3ESQ.P.M.MPUMZA"
"182","182","Bus","182 MPU 3ESQ.xP.MOL"
"182","182","Bus","182 3ESQxP.M.MPU MZA"
"182","182","Bus","182MZA MPU.SUP3ESQPM"
"182","182","Bus","182 3ESQPM.SUPMPUMZA"
"182","182","Bus","182MZA MPU3ESQ.xPM"
"182","182","Bus","182 3ESQ.MPU MZA"
"182","182","Bus","182 MZA MPU SUP REC."
"182","182","Bus","182 REC.MPU.MZA"
"182","182","Bus","182 MZA MPU SUP.REC."
"182","182","Bus","182 RECOARO MAIPU"
"182","182","Bus","182 REC.SUP.MPU MZA"
"182","182","Bus","182 MZA MPU REC."
"182","182","Bus","182 MAIPU RECOARO"
"182","182","Bus","182 REC.SUP.MPU MZA"
"182","182","Bus","182 REC.SUP.MPU.MZA"
"182","182","Bus","182 MPU RECOARO"
"182","182","Bus","182 REC.MPU.MZA"
"182","182","Bus","182MZAMPU SUP.C.P.  "
"182","182","Bus","182 C.PIEDRA MPU"
"182","182","Bus","182MZA.MPU SUP.C.P."
"182","182","Bus","182C.DE PIEDRA MPU"
"182","182","Bus","182 MZA MPU SUP.C.P."
"182","182","Bus","182 C.P.SUP.MPU MZA"
"182","182","Bus","182 MZA MPU SUP.CH."
"182","182","Bus","182CHRUSS.SUP.MPUMZA"
"182","182","Bus","182 MPU CHACH."
"182","182","Bus","182CH.RUSS.MPU MZA"
"182","182","Bus","182MZA MPU RUSS.CHA"
"182","182","Bus","182CHRUSS.SUP.MPUMZA"
"182","182","Bus","182 CHACH.RUSS.MAIPU"
"182","182","Bus","182MZA MPUSUP.RUSSCH"
"182","182","Bus","182 MZA MAIPU"
"182","182","Bus","182MZA MPUCHACH.URQ."
"182","182","Bus","182CHACH.URQ.MPUMZA"
"182","182","Bus","182CHACHINGO URQ.MPU"
"182","182","Bus","182MZAMPU CHACH.URQ."
"182","182","Bus","182MAIPU CHACH.URQ."
"182","182","Bus","182MZA MPUSUP3E.LUNL"
"182","182","Bus","182LUNL.3E.SUPMPUMZA"
"182","182","Bus","182MZA MAIP.SUP.LUNL"
"182","182","Bus","182LUNL.SUP.MAIP.MZA"
"182","182","Bus","182MZA MAIP.SUP.LUNL"
"182","182","Bus","182 LUNLUNTA MAIPU"
"182","182","Bus","182MZA MPU.SUP.LUNL."
"182","182","Bus","182 LUNL.MAIPU MZA"
"182","182","Bus","182MZA MAIP.SUP.LUNL"
"182","182","Bus","182LUNL.SUP.MAIP.MZA"
"182","182","Bus","182 MAIPU LUNLUNTA"
"182","182","Bus","182LUNL.SUP.MAIP.MZA"
"182","182","Bus","182 MZA MAIPU LUNL."
"182","182","Bus","182 LUNL.MAIPU MZA"
"182","182","Bus","182MZA MPU.3ESQ.PMOL"
"182","182","Bus","182 3ESQ.PMOLINA MPU"
